pais,country_code,year,pib_per_capita_ppc,formacao_bruta_capital_fixo_percent_pib,matricula_ensino_secundario_percent,comercio_percent_pib,investimento_estrangeiro_direto_percent_pib,populacao_total,emprego_industria_percent_emprego_total,valor_agregado_industrial_percent_pib,wgi_control_corruption,wgi_gov_effectiveness,wgi_political_stability,wgi_regulatory_quality,wgi_rule_law,wgi_voice_accountability,icrg_qog,fonte_dados,populacao_total_log,investimento_estrangeiro_direto_percent_pib_log,country_id,fonte_id,time_idx
St. Lucia,LCA,2020,1.2517076499611746,-0.09262817618332268,0.9118476303571812,-0.16115048806531496,0.5034345386074359,-0.2783251711632848,-0.36375497645107463,-1.2013857561114063,1.2899254571569505,1.58483453608275,2.0553274043927177,2.2660131451531416,2.181967980658767,2.759424228279277,0.12933429191213489,ambos,12.090947948358982,3.8239540268081855,63,0,16
St. Lucia,LCA,2021,1.5441327725345615,-0.09262817618332268,0.9118476303571812,-0.16115048806531496,0.004537120092068645,-0.2783235483031106,-0.22957775873842082,-1.3169523845367672,1.2899254571569505,1.1822886939364206,2.0553274043927177,1.9338651079496663,2.181967980658767,2.759424228279277,0.12933429191213489,ambos,12.0924727234418,3.7596552271618724,63,0,17
St. Lucia,LCA,2022,2.1204562039589625,-0.09262817618332268,0.8737635179170541,-0.16115048806531496,-0.220016478555619,-0.27832200300610654,-0.11371327030307771,-1.5194064443417008,1.2899254571569505,1.1822886939364206,2.0553274043927177,1.9338651079496663,2.181967980658767,2.759424228279277,0.12933429191213489,ambos,12.093922465512932,3.729307795547693,63,0,18
St. Lucia,LCA,2023,2.18635036066433,-0.09262817618332268,0.9098313834272624,-0.16115048806531496,0.8086275832282542,-0.27831899594166615,-0.3619354840101062,-1.4508935303841088,1.2899254571569505,1.58483453608275,2.0553274043927177,1.9338651079496663,2.181967980658767,2.759424228279277,0.12933429191213489,ambos,12.096737575116936,3.8613422392676737,63,0,19
Sri Lanka,LKA,2018,0.8961294852047108,0.9805952941586871,1.1712428793358032,-0.6862953074225507,-0.35452387432653354,-0.1500968434119318,1.3733787964908242,0.2533864017571369,1.2899254571569505,-0.025349315557772752,-0.445220253086858,0.8187978076605511,0.9240073270194807,1.0046987654006578,0.41442827918219427,ambos,16.89143941965929,3.7106786212288294,64,0,22
Sri Lanka,LKA,2019,0.8778625386193443,0.7146089625784797,1.1712428793358032,-0.6974514367913136,-0.5073671584351815,-0.14930331251794085,1.3287170633807068,0.18095424044241412,1.2899254571569505,-0.025349315557772752,-0.1707698790161436,0.8187978076605511,0.7859384882609096,0.5825876523785072,0.41442827918219427,ambos,16.897558178835432,3.68907995134488,64,0,23
Sri Lanka,LKA,2020,0.7657966247968567,0.35337337404964425,1.1712428793358032,-1.0559725576806007,-0.5634755600256414,-0.14861121038483596,1.2350581192099213,0.10104575951664875,0.6643918694866419,-0.025349315557772752,0.3781308691252851,0.8187978076605511,0.7859384882609096,0.5599124458055489,0.41442827918219427,ambos,16.90286444418801,3.6810325925337386,64,0,24
Sri Lanka,LKA,2021,0.829902850236542,0.44806079573824104,0.9514935689863518,-0.9356636240799503,-0.5365076502881635,-0.1471971741301303,1.111939492542546,0.2447855123855284,0.6643918694866419,-0.025349315557772752,0.3781308691252851,0.8187978076605511,0.7859384882609096,0.5599124458055489,0.41442827918219427,ambos,16.913618943269633,3.6849085541040787,64,0,25
Sri Lanka,LKA,2022,0.6706283160396894,0.15351174926211097,0.8921096712940938,-0.7771661728475934,-0.44487940141734933,-0.1470480141876508,1.1778616440957121,0.23238917756783564,0.6643918694866419,-0.025349315557772752,-0.7196706271575724,0.1782268492821305,0.647869649502338,0.18140766027847985,0.41442827918219427,ambos,16.914746669616555,3.69796670114228,64,0,26
Sri Lanka,LKA,2023,0.6371747083312063,-0.582212826179823,0.8834882678379005,-0.8686063343554019,-0.5045083463968474,-0.14790717545633272,1.1476596529059653,-0.10418108798936647,0.6643918694866419,-0.025349315557772752,-0.445220253086858,0.1782268492821305,0.5098008107437664,0.12907985797317284,0.41442827918219427,ambos,16.90823346221012,3.6894882482780735,64,0,27
