pais,country_code,year,pib_per_capita_ppc,formacao_bruta_capital_fixo_percent_pib,matricula_ensino_secundario_percent,comercio_percent_pib,investimento_estrangeiro_direto_percent_pib,populacao_total,emprego_industria_percent_emprego_total,valor_agregado_industrial_percent_pib,wgi_control_corruption,wgi_gov_effectiveness,wgi_political_stability,wgi_regulatory_quality,wgi_rule_law,wgi_voice_accountability,icrg_qog,populacao_total_log,investimento_estrangeiro_direto_percent_pib_log,pib_per_capita_ppc_d1
Benin,BEN,2023,3721.21254814808,34.1217773085656,43.5606498718262,44.6631308180211,2.25158090881957,14111034.0,18.3030821147503,17.3021977561605,0.375,0.25,0.5625,0.2857143,0.2749999999999999,0.4059999999999999,0.4444444444444444,16.46246767337131,3.723866075343093,132.88734876660965
Burkina Faso,BFA,2018,2316.39432079045,20.1522963589389,39.6278467471779,60.5956256236488,1.68919942943091,20438288.0,16.3316564591298,25.5894433780973,0.375,0.25,0.3125,0.3928570999999999,0.375,0.4083332999999999,0.4166666666666667,16.83292061138116,3.710196930102956,84.10650588100998
Burkina Faso,BFA,2019,2391.53626844484,18.8401565182191,40.0770460332282,60.4086928753226,1.0164787373679,20961952.0,17.0012325245951,27.4259133812459,0.375,0.25,0.25,0.3214286,0.35,0.3013332999999999,0.4166666666666667,16.85821959055728,3.6935966101061948,75.14194765439015
Burkina Faso,BFA,2020,2380.93171826574,17.7568948377207,39.2540084845692,60.7397786403239,-0.557279533533573,21478690.0,16.6609580798734,29.4694767840377,0.375,0.25,0.1875,0.3214286,0.325,0.2076666999999999,0.4166666666666667,16.88257188533831,3.6536504795760707,-10.604550179099988
Burkina Faso,BFA,2021,2486.43093147762,18.1079398753545,38.1480312365517,62.4203586607795,-0.405926078113797,21995243.0,16.4241483546,28.5306243008568,0.375,0.0,0.1875,0.3571429,0.35,0.2946667,0.4166666666666667,16.90633680613375,3.6575623311994443,105.49921321188003
Burkina Faso,BFA,2022,2469.19956941259,18.1462572544304,33.6212866168282,67.5202901331655,3.59640793567206,22509038.0,16.4858028642968,26.0439488959765,0.375,0.0,0.125,0.3571429,0.2749999999999999,0.186,0.4560185185185185,16.929427519834753,3.75581497132673,-17.231362065030225
Burkina Faso,BFA,2023,2486.20669812871,18.3732352965603,30.8551216331757,63.1326851693299,0.544129932348491,23025776.0,16.5607659480594,25.7539427182556,0.375,0.0,0.125,0.3571429,0.25,0.1743333,0.474537037037037,16.952124885464602,3.681773848144784,17.00712871611995
Bangladesh,BGD,2018,6392.59334024091,31.8225747704431,65.2714888764112,32.5146317240884,0.75354913412869,163523103.0,20.0532607831866,31.9828135899766,0.0,0.25,0.375,0.25,0.375,0.2689999999999999,0.4166666666666667,18.912464847186925,3.6870328093207654,386.88615243043023
Bangladesh,BGD,2019,6838.32611608243,32.2137331126266,65.1185413488915,31.5780544912404,0.543244141585063,164913055.0,19.8048029254686,32.8525491977868,0.0,0.25,0.4375,0.25,0.375,0.2793333,0.4166666666666667,18.920928959653363,3.6817515452146194,445.7327758415204
Bangladesh,BGD,2020,7015.19792797056,31.3079413414304,66.4329548486639,26.271447376215,0.407859894856915,166298024.0,18.970086947415,32.9115650824449,0.0,0.25,0.4375,0.25,0.375,0.283,0.4166666666666667,18.929292067965154,3.678336904440535,176.87181188812974
Bangladesh,BGD,2021,7441.06913961254,31.0187387357172,66.8282318620991,27.7240047036631,0.414118154040593,167658854.0,18.2957657271552,33.3160943869001,0.0,0.25,0.4375,0.2857143,0.35,0.283,0.4305555555555555,18.93744184785328,3.6784950065968713,425.87121164198015
Bangladesh,BGD,2022,7888.16389098304,32.047275580905,67.0384586440383,33.7799672705735,0.347960024540439,169384897.0,17.9688209597631,33.9200804971876,0.0,0.25,0.4375,0.2857143,0.35,0.283,0.4583333333333333,18.947684186267168,3.676822390437977,447.0947513704996
Bangladesh,BGD,2023,8242.39798977242,30.9512000834944,65.9856598598849,30.9829714104596,0.335721505298968,171466990.0,17.625867147727,34.5942721606063,0.0,0.25,0.4375,0.25,0.35,0.2789999999999999,0.4583333333333333,18.95990133374189,3.6765126681538045,354.23409878938037
Bosnia and Herzegovina,BIH,2018,16349.0675137661,22.8222703920961,85.6409912109375,98.4320694182631,2.93781298692857,3387000.0,32.1862841194301,23.7113564316664,0.25,0.0,0.3125,0.4642856999999999,0.3999999999999999,0.3326667,0.4444444444444444,15.035455427046395,3.740296313616957,794.3442655873005
Bosnia and Herzegovina,BIH,2019,17029.3678184559,23.0639215176452,85.5401306152344,94.516125154246,2.18661375097898,3345533.0,31.740950463346,23.2037923257609,0.25,0.0,0.3125,0.4642856999999999,0.3999999999999999,0.3286667,0.4444444444444444,15.023136880058763,3.7222965072457606,680.3003046897993
Bosnia and Herzegovina,BIH,2020,16747.1048417525,23.1509133837447,85.5591125488281,82.5216467994007,2.38939027026416,3299349.0,33.5152325602836,23.7775660166922,0.25,0.0,0.3125,0.4642856999999999,0.3999999999999999,0.3279999999999999,0.4444444444444444,15.00923603733866,3.7271873350026428,-282.2629767033977
